SystemSize,SystemSizeID,SystemType,SystemTypeID,SolarPanel,SolarPanelID,Inverter,InverterID,Battery ,BatteryID,BatteryCost,NoOfBatteries ,BatteryTotalCost,InvetrerCost,NoOfInveters ,PanelCost,NoOfPanels,TotalInveterCost,TotalPanelCost,TotalSystemCost
3.5kW,3,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,250000,1,250000,240000,1,46000,4,240000,184000,674000
4kW,4,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,410000,1,410000,320000,1,46000,4,320000,184000,914000
5kW,5,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,410000,1,410000,440000,1,46000,5,440000,230000,1080000
7.5kW,6,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,520000,1,46000,7,520000,322000,1732000
8kW,7,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,610000,1,46000,8,610000,368000,1868000
10kW,8,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,710000,1,46000,10,710000,460000,2060000
15kW,9,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,2,1780000,520000,2,46000,15,1040000,690000,3510000
20kW,10,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,2,1780000,710000,2,46000,20,1420000,920000,4120000
30kW,11,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,3,2670000,710000,3,46000,30,2130000,1380000,6180000
40kW,12,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,4,3560000,710000,4,46000,40,2840000,1840000,8240000
50kW,13,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,5,4450000,710000,5,46000,50,3550000,2300000,10300000
60kW,14,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,LFP Lithium-ion,2,890000,6,5340000,710000,6,46000,60,4260000,2760000,12360000
1kW,1,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,80000,1,80000,88000,1,46000,1,88000,46000,214000
2kW,2,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,170000,1,170000,120000,1,46000,2,120000,92000,382000
3.5kW,3,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,250000,1,250000,210000,1,46000,4,210000,184000,644000
